,ingredient,class,reason,int_label,prompt
10,albumin,not harmful,"Albumin is a protein found in egg whites, milk, and blood plasma. It is a source of essential amino acids and is commonly used in food and medical products. It is considered not harmful to human health when consumed in normal amounts.",2,"Ingredient: albumin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
11,"albumin, dried",not harmful,Albumin is a protein commonly found in eggs and milk. It is a good source of essential amino acids and is generally considered safe for consumption. It is often used in food products as a thickening or binding agent.,2,"Ingredient: albumin, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
12,algae extract,not harmful,Algae extract is generally considered safe for human consumption and is even rich in various nutrients and antioxidants that can benefit health. It is commonly used in skincare products and supplements.,2,"Ingredient: algae extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
13,alginic acid,not harmful,Alginic acid is generally recognized as safe by the FDA and is commonly used in food and pharmaceutical products. It is not known to have harmful effects on human health when consumed in typical amounts.,2,"Ingredient: alginic acid
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
14,allspice oleoresin,controversial,"Allspice oleoresin is a concentrated extract of allspice berries that may cause skin irritation or allergic reactions in some individuals. While it is generally recognized as safe for use in food by the FDA, some studies suggest potential negative effects on health due to its high concentration of certain compounds.",0,"Ingredient: allspice oleoresin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
15,allyl isothiocyanate,harmful,"Allyl isothiocyanate, found in mustard oil and other cruciferous vegetables, can be harmful in high concentrations. It is a powerful irritant and can cause skin, eye, and respiratory irritation. Ingesting large amounts can also be toxic, leading to gastrointestinal issues and potential damage to the liver and kidneys.",1,"Ingredient: allyl isothiocyanate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
16,almond extract,controversial,"Almond extract is generally safe for consumption in small amounts, but some individuals may be allergic to almonds. Consuming large quantities could lead to cyanide poisoning as almond extract contains small amounts of cyanide. Therefore, its impact on human health can be considered controversial.",0,"Ingredient: almond extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
17,almond protein,not harmful,"Almond protein is a plant-based protein source that is generally considered safe and nutritious for human consumption. It provides essential amino acids, vitamins, and minerals without the negative health impacts associated with many animal-based protein sources.",2,"Ingredient: almond protein
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
18,aloe vera extract,controversial,"While aloe vera extract is generally considered safe for topical use and has potential benefits such as skin hydration and wound healing, there are concerns about its safety when ingested. Some studies suggest that oral consumption of aloe vera may have potential risks such as diarrhea, abdominal cramps, and electrolyte imbalances. More research is needed to fully understand its effects on human health.",0,"Ingredient: aloe vera extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
19,alpha-tocopherol,not harmful,"Alpha-tocopherol is a form of vitamin E, which is an essential nutrient and a potent antioxidant that helps protect cells from damage. It is generally considered safe and beneficial for human health when consumed in appropriate amounts.",2,"Ingredient: alpha-tocopherol
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
20,aluminum ammonium sulfate,controversial,"Aluminum compounds have been a subject of debate regarding their potential links to health issues, such as neurotoxicity and Alzheimer's disease. However, more research is needed to fully understand the impact of aluminum compounds like aluminum ammonium sulfate on human health.",0,"Ingredient: aluminum ammonium sulfate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
21,aluminum phosphate,controversial,"The health impact of aluminum phosphate is controversial. Some studies suggest a potential link between aluminum exposure and health issues such as neurological disorders, while others argue that the amount of aluminum in food additives is too low to cause harm.",0,"Ingredient: aluminum phosphate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
22,aluminum sodium sulfate,controversial,"Aluminum has been linked to various health concerns, including potential neurotoxic effects and increased risk of developing conditions like Alzheimer's disease. However, aluminum sodium sulfate is commonly used in baking powder and some medications, and its safety in these forms is still debated among researchers.",0,"Ingredient: aluminum sodium sulfate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
23,aluminum sulfate,controversial,"Aluminum sulfate has been linked to potential harmful effects on human health, such as skin irritation and respiratory issues. However, it is approved for use in certain food and water treatment applications by regulatory agencies. Further research is needed to fully understand its impact on human health.",0,"Ingredient: aluminum sulfate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
24,ammonia (also includes ammonium chloride),controversial,"Ammonia and its derivative, ammonium chloride, are controversial ingredients. While they are generally recognized as safe in small quantities by regulatory agencies for certain uses, there is controversy over their potential health effects, especially in higher concentrations or prolonged exposure. Ammonia is a respiratory and skin irritant, and there are concerns about its impact on air quality and the environment. Therefore, more research is needed to fully understand the health implications of these ingredients.",0,"Ingredient: ammonia (also includes ammonium chloride)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
25,ammonium bicarbonate,harmful,"Ammonium bicarbonate, when ingested in large amounts, can cause irritation to the gastrointestinal tract and lead to nausea, vomiting, and abdominal pain. Inhaling the powder can irritate the respiratory tract. Prolonged exposure or high levels of ingestion can be harmful to human health.",1,"Ingredient: ammonium bicarbonate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
26,ammonium carbonate,harmful,"Ammonium carbonate is considered harmful to human health as it can cause irritation to the respiratory system, skin, and eyes upon exposure. Ingestion of large amounts can lead to gastrointestinal issues such as nausea, vomiting, and diarrhea. It is best to avoid consuming products containing this ingredient.",1,"Ingredient: ammonium carbonate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
27,ammonium chloride,controversial,"Ammonium chloride is considered controversial in terms of its impact on human health. It is generally recognized as safe in small amounts as a food additive, but high levels of consumption may have negative effects on certain individuals, such as those with kidney or liver issues. More research is needed to fully understand its potential health impacts.",0,"Ingredient: ammonium chloride
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
28,ammonium phosphate,harmful,"Ammonium phosphate is a chemical compound that, when consumed in large amounts, can be harmful to human health. It can cause gastrointestinal irritation, nausea, and vomiting. Additionally, excessive intake of phosphates has been linked to negative effects on bone health and kidney function.",1,"Ingredient: ammonium phosphate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
29,"ammonium phosphate, dibasic",controversial,"There are conflicting studies about the health impact of ammonium phosphate, dibasic. Some studies suggest potential harmful effects on the renal system, while others indicate that it is safe for consumption in small amounts as a food additive.",0,"Ingredient: ammonium phosphate, dibasic
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
30,"ammonium phosphate, monobasic",controversial,"Ammonium phosphate, monobasic is commonly used as a food additive and in fertilizers. Some research suggests potential health concerns related to high levels of phosphorus intake, but more studies are needed to establish clear harmful effects on human health.",0,"Ingredient: ammonium phosphate, monobasic
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
31,ammonium sulfate,controversial,"Ammonium sulfate is considered controversial as it is generally recognized as safe by the FDA for use in food products, but some studies have linked high intake of sulfates to potential health issues such as digestive disorders and nutrient imbalances.",0,"Ingredient: ammonium sulfate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
32,anchovy extract,not harmful,"Anchovy extract is a natural ingredient that is commonly used as a flavor enhancer in various food products. It is a good source of protein, healthy fats, vitamins, and minerals. There is no strong evidence to suggest that anchovy extract has harmful effects on human health when consumed in moderate amounts.",2,"Ingredient: anchovy extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
33,anise extract,not harmful,Anise extract is commonly used as a flavoring agent in food and beverages. It is generally recognized as safe by the FDA and there is no significant evidence to suggest that anise extract has harmful effects on human health when consumed in moderate amounts.,2,"Ingredient: anise extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
34,annatto extract (or color),controversial,"Annatto extract is considered controversial as some studies suggest that it may cause allergic reactions in sensitive individuals. However, it is generally recognized as safe by regulatory bodies when consumed in normal food amounts. More research is needed to fully understand its potential impact on human health.",0,"Ingredient: annatto extract (or color)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
35,annatto oleoresin,controversial,"Annatto oleoresin is considered controversial as it can cause allergic reactions in some individuals, but for the majority of people, it is not harmful to health. However, more research is needed to fully understand its potential effects on human health.",0,"Ingredient: annatto oleoresin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
36,anthocyanin,not harmful,"Anthocyanins are natural pigments found in many fruits and vegetables, known for their antioxidant properties and potential health benefits such as reducing inflammation and improving heart health. Consuming foods rich in anthocyanins is generally considered beneficial for human health.",2,"Ingredient: anthocyanin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
37,apple extract (or color),not harmful,Apple extract or color is derived from apples which are generally considered safe and nutritious for consumption. It is often used as a natural food additive and flavoring agent without significant negative health effects.,2,"Ingredient: apple extract (or color)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
38,apple fiber,not harmful,"Apple fiber is a type of dietary fiber that is beneficial for digestive health. It can help promote regular bowel movements, maintain healthy blood sugar levels, and support heart health. Overall, apple fiber is considered to be not harmful and can be a beneficial addition to a balanced diet.",2,"Ingredient: apple fiber
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
39,apple solids,not harmful,"Apple solids, which are essentially the pulp of the apple, are a good source of dietary fiber and nutrients such as vitamins and minerals. Consuming apple solids as part of a balanced diet is not harmful and can contribute to overall health.",2,"Ingredient: apple solids
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
40,artemisia extract,controversial,"Artemisia extract is commonly used in traditional medicine and herbal remedies, but there is limited scientific evidence to support its efficacy and safety. Some studies suggest potential health benefits, while others raise concerns about side effects and safety. More research is needed to determine the true impact on human health.",0,"Ingredient: artemisia extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
41,artificial color,controversial,"Artificial colors have been linked to hyperactivity and behavioral issues in some children, although further research is needed to establish a definitive link. Some studies have shown a potential association with cancer and other health concerns, but the evidence is not conclusive. Regulatory bodies have approved the use of certain artificial colors within specified limits, but there is ongoing debate about their safety.",0,"Ingredient: artificial color
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
42,asafoetida oleoresin,controversial,"Asafoetida oleoresin is considered controversial in terms of its impact on human health. While it is commonly used in traditional medicine for its potential health benefits, there is limited scientific research to confirm its efficacy and safety. Some individuals may experience allergic reactions or digestive issues when consuming asafoetida oleoresin.",0,"Ingredient: asafoetida oleoresin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
43,ascorbic acid,not harmful,"Ascorbic acid, also known as vitamin C, is essential for overall health. It is an important antioxidant that helps protect cells from damage, boosts the immune system, and aids in the absorption of iron from plant-based foods. Consuming ascorbic acid within recommended levels is not known to have harmful effects on human health.",2,"Ingredient: ascorbic acid
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
44,ascorbyl palmitate,controversial,"Ascorbyl palmitate is controversial as some studies suggest it may have harmful effects on health, while others report it to be safe for consumption. More research is needed to reach a clear conclusion.",0,"Ingredient: ascorbyl palmitate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
45,aspartame,controversial,"Aspartame is a low-calorie sweetener that has been the subject of controversy regarding its potential health effects. Some studies have raised concerns about its safety, linking it to various health issues, while others have found no significant negative health effects. Further research is needed to provide conclusive evidence on its impact on human health.",0,"Ingredient: aspartame
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
46,autolyzed yeast,controversial,Autolyzed yeast can be controversial as it is considered a flavor enhancer by some but can also contain high levels of processed free glutamic acid (MSG) which can cause adverse reactions in sensitive individuals.,0,"Ingredient: autolyzed yeast
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
47,autolyzed yeast extract,controversial,"Autolyzed yeast extract is considered controversial as it can contain naturally occurring glutamic acid, which some people may be sensitive to and experience adverse reactions. However, it is generally recognized as safe by regulatory authorities when consumed in normal amounts and is a source of nutrients like B vitamins.",0,"Ingredient: autolyzed yeast extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
48,azodicarbonamide,harmful,Azodicarbonamide has been linked to respiratory issues and is banned as a food additive in several countries due to its potential carcinogenic properties.,1,"Ingredient: azodicarbonamide
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
49,bakers yeast extract,controversial,"Baker's yeast extract is controversial as some individuals may have sensitivities or allergies to yeast. However, for the majority of people, consuming baker's yeast extract in moderate amounts is considered safe and can even provide some health benefits such as being a source of B vitamins.",0,"Ingredient: bakers yeast extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
50,bakers yeast protein,not harmful,Bakers yeast protein is generally considered safe for human consumption and is a common ingredient in many foods. It is a good source of essential amino acids and nutrients. There are no known harmful effects associated with consuming bakers yeast protein in reasonable amounts.,2,"Ingredient: bakers yeast protein
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
51,baking powder,not harmful,Baking powder is commonly used in cooking and baking to help food rise. It is generally recognized as safe for consumption and does not have any known harmful effects on human health when consumed in normal quantities.,2,"Ingredient: baking powder
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
52,bamboo fiber,not harmful,"Bamboo fiber is considered a safe and natural material for use in textiles and kitchenware. It is non-toxic, biodegradable, and renewable. There is no evidence to suggest any harmful effects on human health.",2,"Ingredient: bamboo fiber
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
53,barley extract,not harmful,"Barley extract is a natural ingredient derived from barley, which is a nutritious grain rich in fiber, antioxidants, vitamins, and minerals. It is commonly used in food and beverages as a flavoring agent or sweetener and is generally considered to be safe for consumption.",2,"Ingredient: barley extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
54,barley fiber,not harmful,"Barley fiber is a type of dietary fiber that is beneficial for human health. It has been associated with various health benefits such as improved digestion, reduced cholesterol levels, and better blood sugar control. Therefore, it is considered not harmful to human health.",2,"Ingredient: barley fiber
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
55,basil extract,not harmful,Basil extract is a natural ingredient commonly used in cooking and herbal medicine. It is generally considered safe for human consumption and has been associated with potential health benefits such as anti-inflammatory and antioxidant properties.,2,"Ingredient: basil extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
56,bee pollen,controversial,"Bee pollen is considered beneficial by some due to its nutritional content, but there are concerns about potential allergic reactions and contamination with pesticides or toxins.",0,"Ingredient: bee pollen
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
57,beef extract,controversial,"Beef extract can be controversial as it is a concentrated form of beef flavor, which can be high in sodium and saturated fats. However, it also contains essential nutrients like protein, iron, and vitamin B12. The health impact can vary based on individual dietary needs and consumption levels.",0,"Ingredient: beef extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
58,beeswax,not harmful,Beeswax is a natural substance produced by honeybees and is generally considered safe for human consumption. It is commonly used in food and cosmetic products without significant negative health effects.,2,"Ingredient: beeswax
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
59,"beeswax, bleached",controversial,"The bleaching process may involve chemicals that could potentially have harmful effects on human health. However, beeswax itself is generally considered safe for consumption and use in products.",0,"Ingredient: beeswax, bleached
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
60,beetroot extract (or color),not harmful,"Beetroot extract or color is generally considered safe for consumption. In fact, beetroot is known to have health benefits such as being rich in antioxidants and nitrates which may have positive effects on cardiovascular health.",2,"Ingredient: beetroot extract (or color)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
61,beetroot fiber,not harmful,"Beetroot fiber is beneficial for human health as it promotes digestion, helps maintain a healthy weight, and can reduce the risk of chronic diseases such as heart disease and diabetes.",2,"Ingredient: beetroot fiber
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
62,beetroot protein,not harmful,"Beetroot protein is a natural source of plant-based protein which can be beneficial for human health, providing essential amino acids, promoting muscle growth, and aiding in overall health and wellness. There are no known harmful effects of consuming beetroot protein.",2,"Ingredient: beetroot protein
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
63,benzaldehyde,controversial,"Benzaldehyde is generally recognized as safe by FDA for use in food. However, it may cause allergic reactions in some individuals, so its safety as a food additive is debated.",0,"Ingredient: benzaldehyde
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
64,benzoic acid,controversial,"Benzoic acid is considered safe in small amounts as a food additive, but high levels can be harmful. Some studies suggest a potential link to hyperactivity in children, but more research is needed to confirm the effects on human health.",0,"Ingredient: benzoic acid
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
65,benzoyl peroxide,not harmful,"Benzoyl peroxide is commonly used in skincare products to treat acne. It is generally considered safe and effective when used as directed. While it may cause some skin irritation or dryness in some individuals, overall it is not considered harmful to human health.",2,"Ingredient: benzoyl peroxide
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
66,benzyl alcohol,controversial,"Benzyl alcohol is considered controversial as it can cause skin irritation in some individuals, but it is generally recognized as safe in low concentrations for use in cosmetics and pharmaceuticals. However, there are concerns about its potential toxicity at higher doses, especially if ingested or used on infants.",0,"Ingredient: benzyl alcohol
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
67,berry extract (or color),controversial,"The impact of berry extract/color on human health is controversial. While berries are generally considered nutritious and beneficial due to their antioxidant content, some synthetic berry colors/additives may have potential harmful effects if consumed in large quantities. More research is needed to determine the overall impact on health.",0,"Ingredient: berry extract (or color)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
68,beta-apo-8'-carotenal,controversial,"There is limited research available on the specific health effects of beta-apo-8'-carotenal on human health. It is a synthetic form of carotenoid, which in general are considered beneficial, but further studies are needed to determine the specific impact of this particular compound.",0,"Ingredient: beta-apo-8'-carotenal
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
69,beta-carotene,not harmful,"Beta-carotene is a precursor to vitamin A, an essential nutrient for vision, immune function, and skin health. It is considered safe and beneficial for human health when consumed in appropriate amounts from natural food sources like fruits and vegetables.",2,"Ingredient: beta-carotene
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
70,beta-d-fructofuranose,not harmful,"Beta-D-fructofuranose is a form of fructose, a natural sugar found in fruits and honey. It is a common component of many carbohydrates and does not have any known harmful effects on human health when consumed in moderate amounts.",2,"Ingredient: beta-d-fructofuranose
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
71,biotin,not harmful,"Biotin is a water-soluble B vitamin that is essential for converting food into energy. It is generally considered safe and necessary for maintaining healthy hair, skin, and nails.",2,"Ingredient: biotin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
72,black pepper extract,not harmful,Black pepper extract is generally considered safe for human consumption. It is commonly used as a seasoning and flavoring agent in food and has not been found to have harmful effects on human health when consumed in moderate amounts.,2,"Ingredient: black pepper extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
73,black pepper oleoresin,controversial,"Black pepper oleoresin is generally considered safe when used as a food flavoring. However, some studies suggest that it may have potential side effects when consumed in large quantities or applied topically. More research is needed to determine its overall impact on human health.",0,"Ingredient: black pepper oleoresin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
74,blueberry extract (or color),not harmful,"Blueberry extract or color is derived from blueberries, which are known to be rich in antioxidants and beneficial nutrients. Consuming blueberry extract or color is generally considered safe and even beneficial for health.",2,"Ingredient: blueberry extract (or color)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
75,bonito extract,controversial,"Bonito extract is considered controversial due to concerns about the potential presence of histamine, which can cause adverse reactions in some individuals, such as histamine toxicity. However, when consumed in moderate amounts by healthy individuals, bonito extract is not typically harmful to human health.",0,"Ingredient: bonito extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
76,brewers yeast protein,not harmful,"Brewer's yeast protein is a source of high-quality protein, B vitamins, and minerals, which can provide health benefits such as supporting immunity, muscle function, and energy levels. It is generally considered safe for consumption and can be beneficial for overall health.",2,"Ingredient: brewers yeast protein
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
77,brominated vegetable oil,harmful,"Brominated vegetable oil (BVO) is considered harmful to human health as it contains bromine, which has been linked to potential negative effects on the body, such as thyroid issues, skin rashes, and neurological symptoms. Consumption of BVO has been restricted or banned in several countries.",1,"Ingredient: brominated vegetable oil
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
78,brown rice protein,not harmful,Brown rice protein is a plant-based protein source that is generally considered safe and nutritious for most people. It is a good alternative for those with dietary restrictions or allergies to other protein sources.,2,"Ingredient: brown rice protein
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
79,brown rice syrup,harmful,"Brown rice syrup is high in calories and has a high glycemic index, which can contribute to weight gain and blood sugar spikes. It may also contain traces of arsenic, which is a potential health concern.",1,"Ingredient: brown rice syrup
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
