Ingredient,Quantity
milk lowfat fluid 1 milkfat prot fort w added vit a  d,200
milk nonfat fluid w added vit a  vit d (fat free or skim),200
milk nonfat fluid w added nonfat milk sol vit a  vit d,200
milk nonfat fluid prot fort w add vit a  d (fat freeskim),200
milk bttrmlk fluid cultured lowfat,200
milk lo na fluid,200
milk dry whl w added vitamin d,200
milk dry nonfat reg wo added vit a  vitamin d,200
milk dry nonfat inst w added vit a  vitamin d,200
milk dry nonfat ca red,200
milk buttermilk dried,200
milk cnd cond swtnd,200
milk cnd evap w added vitamin d  wo added vit a,200
milk cnd evap nonfat w added vit a  vitamin d,200
milk choc fluid comm whl w added vit a  vitamin d,200
milk choc fluid comm red fat,200
milk choc lowfat w added vit a  vitamin d,200
milk choc bev hot cocoa homemade,200
milk goat fluid w added vitamin d,200
milk human mature fluid,200
milk indian buffalo fluid,200
milk sheep fluid,200
milk shakes thick choc,200
milk shakes thick vanilla,200
whey acid fluid,200
whey acid dried,200
whey sweet fluid,200
whey sweet dried,200
yogurt pln whl milk 8 grams prot per 8 oz,200
yogurt pln lofat 12 grams prot per 8 oz,200
yogurt pln skim milk 13 grams prot per 8 oz,200
yogurt vanilla lofat 11 grams prot per 8 oz,200
yogurt fruit lofat 9 grams prot per 8 oz,200
yogurt fruit lofat 10 grams prot per 8 oz,200
yogurt fruit lofat 11 grams prot per 8 oz,200
egg whl raw frsh,200
egg white raw fresh,200
egg yolk raw frsh,200
egg yolk raw frz past,200
egg yolk raw frz sugared past,200
egg whl ckd fried,200
egg whl ckd hard-boiled,200
egg whole cooked omelet,200
egg whl ckd poached,200
egg whl ckd scrmbld,200
egg whl dried,200
egg whl dried stabilized glucose red,200
egg white dried flakes stabilized glucose red,200
egg white dried pdr stabilized glucose red,200
egg yolk dried,200
egg duck whole fresh raw,200
egg goose whole fresh raw,200
egg quail whole fresh raw,200
egg turkey whl frsh raw,200
egg substitute powder,200
butter without salt,200
cheese parmesan shredded,200
milk nonfat fluid wo added vit a  vit d (fat free or skim),200
milk red fat fluid 2 milkfat w nonfat milk sol wo vit a,200
milk cnd evap w vit a,200
milk dry nonfat reg w added vit a  vitamin d,200
milk dry nonfat inst wo added vit a  vitamin d,200
cheese goat hard type,200
cheese goat semisoft type,200
cheese goat soft type,200
egg yolk raw frz salted past,200
cheese sub mozzarella,200
cheese sau prep from recipe,200
cheese mexican queso anejo,200
cheese mexican queso asadero,200
cheese mexican queso chihuahua,200
cheese lofat cheddar or colby,200
cheese low-sodium cheddar or colby,200
egg whl raw frz past,200
egg white raw frz past,200
egg white dried,200
milk red fat fluid 2 milkfat wo added vit a  vit d,200
milk fluid 1 fat wo added vit a  vit d,200
sour cream reduced fat,200
sour cream light,200
sour cream fat free,200
usda commodity chs cheddar red fat,200
yogurt van or lem flav nonfat milk swtnd wlow-calorie swtnr,200
parmesan chs topping fat free,200
cheese cream fat free,200
yogurt choc nonfat milk,200
kraft cheez whiz past process chs sau,200
kraft cheez whiz lt past process chs product,200
kraft free singles american nonfat past process chs product,200
kraft velveeta past process chs sprd,200
kraft velveeta lt red fat past process chs product,200
kraft breakstone's red fat sour crm,200
kraft breakstone's free fat free sour crm,200
cream half  half fat free,200
reddi wip fat free whipped topping,200
milk choc fluid comm red fat w added ca,200
yogurt fruit lofat wlo cal sweetener,200
cheese parmesan dry grated red fat,200
cream sub flav liq,200
cream sub flav pdr,200
cheese provolone red fat,200
cheese mexican blend red fat,200
egg mix usda cmdty,200
milk whl 325 milkfat wo added vit a  vitamin d,200
milk dry whl wo added vitamin d,200
milk cnd evap wo added vit a  vitamin d,200
cheese product past process american red fat fort w vit d,200
yogurt fruit lofat 9 grams prot per 8 oz fort w vitamin d,200
yogurt fruit lofat 10 grams prot per 8 oz fort w vitamin d,200
yogurt fruit var nonfat fort w vitamin d,200
yogurt fruit lowfat w lo cal swtnr fort w vitamin d,200
yogurt vanilla lofat 11 grams prot per 8 oz fort w vit d,200
yogurt vanlem flav nonfat milk w lo-cal swtnr fort wvit d,200
yogurt choc nonfat milk fort w vitamin d,200
protein supp milk bsd muscle milk pdr,200
protein supp milk bsd muscle milk lt pdr,200
dulce de leche,200
egg sub liq or frz fat free,200
cheese dry white queso seco,200
cheese frsh queso fresco,200
cheese white queso blanco,200
milk bttrmlk fluid whl,200
yogurt vanilla flavor lowfat milk swtnd w lo cal swtnr,200
yogurt frz flavors not choc nonfat milk w low-calorie swtnr,200
ice crm soft serve choc,200
ice crm bar or stk choc covered,200
ice crm sndwch,200
ice crm cookie sndwch,200
ice crm cone choc covered w nuts flavors other than choc,200
ice crm sndwch made w lt ice crm vanilla,200
ice crm sndwch vanilla lt no sugar added,200
fat free ice crm no sugar added flavors other than choc,200
milk dssrt bar frz made from lowfat milk,200
nutritional supp for people w diabetes liq,200
cheese mexican blend,200
cheese product past process american vitamin d fort,200
cheese past process american wo added vitamin d,200
cheese fd past process american wo added vitamin d,200
egg whl raw frz salted past,200
yogurt greek pln nonfat,200
egg white dried stabilized glucose red,200
cheese sprd american or cheddar chs base red fat,200
cheese cheddar red fat,200
ice crm lt soft serve choc,200
ice crm bar stk or nugget w crunch coating,200
cheese cheddar nonfat or fat free,200
cheese swiss nonfat or fat free,200
cheese mexican queso cotija,200
cheese cheddar sharp sliced,200
cheese mozzarella lo moist part-skim shredded,200
yogurt greek nonfat vanilla chobani,200
yogurt greek strawberry dannon oikos,200
yogurt greek nonfat vanilla dannon oikos,200
yogurt greek nonfat strawberry dannon oikos,200
yogurt greek nonfat strawberry chobani,200
yogurt greek strawberry lowfat,200
yogurt greek strawberry nonfat,200
yogurt greek vanilla nonfat,200
yogurt greek pln lowfat,200
kefir lowfat pln lifeway,200
kefir lowfat strawberry lifeway,200
milk cnd evap wo vit a,200
milk choc fat free w added vit a  vitamin d,200
yogurt greek pln whl milk,200
yogurt greek fruit whl milk,200
yogurt vanilla non-fat,200
yogurt greek vanilla lowfat,200
yogurt frz flavors other than choc lowfat,200
ice crm bar covered w choc  nuts,200
ice crm sundae cone,200
light ice crm creamsicle,200
cream half  half lowfat,200
milk choc lowfat red sugar,200
ice crm lowfat no sugar added cone added pnuts  choc sau,200
allspice ground,200
anise seed,200
spices basil dried,200
spices bay leaf,200
caraway seed,200
spices cardamom,200
celery seed,200
chervil dried,200
chili powder,200
cinnamon ground,200
cloves ground,200
coriander leaf dried,200
coriander seed,200
cumin seed,200
curry powder,200
dill seed,200
dill weed dried,200
fennel seed,200
fenugreek seed,200
garlic powder,200
ginger ground,200
mace ground,200
marjoram dried,200
spices mustard sd ground,200
nutmeg ground,200
onion powder,200
spices oregano dried,200
paprika,200
parsley dried,200
pepper black,200
pepper red or cayenne,200
pepper white,200
poppy seed,200
poultry seasoning,200
pumpkin pie spice,200
rosemary dried,200
saffron,200
sage ground,200
savory ground,200
spices tarragon dried,200
spices thyme dried,200
turmeric ground,200
basil fresh,200
dill weed frsh,200
mustard prepared yellow,200
salt table,200
vinegar cider,200
thyme frsh,200
vanilla extract,200
vanilla extract imitn alcohol,200
vanilla extract imitn no alcohol,200
vinegar distilled,200
capers canned,200
horseradish prepared,200
rosemary fresh,200
peppermint fresh,200
spearmint fresh,200
spearmint dried,200
vinegar red wine,200
vinegar balsamic,200
pace dry taco seas mix,200
seasoning mix dry sazon coriander  annatto,200
seasoning mix dry taco original,200
seasoning mix dry chili original,200
clif z bar,200
babyfood juc treats fruit medley todd,200
babyfood meat bf str,200
babyfood meat bf jr,200
babyfood meat veal str,200
babyfood meat pork str,200
babyfood meat ham str,200
babyfood meat ham junior,200
babyfood meat lamb str,200
babyfood meat lamb junior,200
babyfood meat chick str,200
babyfood meat chick jr,200
babyfood meat chick stks jr,200
babyfood meat turkey str,200
babyfood meat turkey jr,200
babyfood  meat  turkey sticks  junior,200
babyfood snack gerber graduate fruit strips real fruit bars,200
babyfood meat meat stks jr,200
babyfood gerber 2nd foods appl carrot  squash organic,200
babyfood finger snacks gerber graduates puffs appl  cinn,200
babyfood h2o btld gerber wo added fluoride,200
babyfood gerber 3rd foods appl mango  kiwi,200
babyfood tropical fruit medley,200
babyfood dinner vegdumplingsbf str,200
babyfood dinner vegdumplingsbf jr,200
babyfood dinner bf lasagna todd,200
babyfood dinner macaronitomatobf str,200
babyfood dinner macaronitomatobf jr,200
babyfood ravioli chs filled wtomato sau,200
babyfood dinner bf noodle str,200
babyfood macaronichs todd,200
babyfood dinner bfrice todd,200
babyfood dinner spaghettitomatomeat jr,200
babyfood dinner spaghettitomatomeat todd,200
babyfood dinner bf stew todd,200
babyfood dinner vegbf str,200
babyfood dinner vegbf jr,200
babyfood dinner bf wveg,200
babyfood dinner vegbacon str,200
babyfood dinner vegham str,200
babyfood dinner vegham jr,200
babyfood dinner veglamb str,200
babyfood dinner veglamb jr,200
babyfood dinner chick noodle str,200
babyfood dinner chick noodle jr,200
babyfood dinner chick soup str,200
babyfood  dinner  chick stew  todd,200
babyfood dinner veg chick str,200
babyfood dinner veg noodleschick str,200
babyfood dinner veg noodleschick jr,200
babyfood dinner pasta wveg,200
babyfood dinner vegnoodlesturkey str,200
babyfood dinner vegnoodlesturkey jr,200
babyfood dinner turkeyrice str,200
babyfood dinner turkey  rice jr,200
babyfood dinner vegturkey str,200
babyfood dinner vegturkey jr,200
babyfood dinner macaronichs str,200
babyfood dinner macaronichs jr,200
babyfood veg grn bns str,200
babyfood veg grn bns jr,200
babyfood grn bns dices todd,200
babyfood veg grn bnspotatoes,200
babyfood veg beets str,200
babyfood veg carrots str,200
babyfood veg carrots jr,200
babyfood veg squash str,200
babyfood veg squash jr,200
babyfood veg swt potatoes str,200
babyfood veg swt potatoes jr,200
babyfood potatoes toddler,200
babyfood veg butternut squashcorn,200
babyfood appls dices todd,200
babyfood fruit applsauc str,200
babyfood fruit applsauc jr,200
babyfood fruit apricot wtapioca str,200
babyfood veg corn crmd str,200
babyfood veg corn crmd jr,200
babyfood veg peas str,200
babyfood peas dices todd,200
babyfood veg spinach crmd str,200
babyfood fruit apricot wtapioca jr,200
babyfood fruit bananas wtapioca str,200
babyfood fruit peaches str,200
babyfood fruit peaches jr,200
babyfood fruit pears str,200
babyfood fruit pears jr,200
babyfood fruit plums wtapioca wovit c str,200
babyfood fruit plums wtapioca wovit c jr,200
babyfood fruit prunes wtapioca wovit c str,200
babyfood fruit prunes wtapioca wovit c jr,200
babyfood prunes wovit c str,200
babyfood fruit dssrt mango w tapioca,200
babyfood pears dices todd,200
babyfood fruit applsaucapricots str,200
babyfood fruit applsaucapricots jr,200
babyfood fruit applsauccherries str,200
babyfood fruit applsauc  cherries jr,200
babyfood fruit applsauc wbanana jr,200
babyfood fruit applsaucpnappl str,200
babyfood fruit applsaucpnappl jr,200
babyfood fruit appl  raspberry str,200
babyfood fruit appl  raspberry jr,200
babyfood fruit  veg appl  swt potato,200
babyfood fruit bananaspnappl wtapioca jr,200
babyfood fruit bananaspnappl wtapioca str,200
babyfood fruit pearspnappl str,200
babyfood fruit pearspnappl jr,200
babyfood fruit guavapapaya wtapioca str,200
babyfood peaches dices todd,200
babyfood fruit papayaapplsauc wtapioca str,200
babyfood fruit bananas wapplspears str,200
babyfood fruit applblueberry str,200
babyfood fruit applblueberry jr,200
babyfood juice apple,200
babyfood apple-banana juc,200
babyfood juc applpeach,200
babyfood apple-cranberry juc,200
babyfood juc applplum,200
babyfood juc applprune,200
babyfood juice orange,200
babyfood juc orangeappl,200
babyfood juc orangeapplbanana,200
babyfood juc orangeapricot,200
babyfood juc orangebanana,200
babyfood juc orangepnappl,200
babyfood juc pruneorange,200
babyfood juc mxd fruit,200
babyfood crl barley dry fort,200
babyfood crl whl wheat w appls dry fort,200
babyfood crl mxd dry fort,200
babyfood crl mxd w bananas dry,200
babyfood crl mxd w applsauc  bananas str,200
babyfood crl mxd w applsauc  bananas jr fort,200
babyfood crl oatmeal dry fort,200
babyfood crl oatmeal w bananas dry,200
babyfood crl oatmeal w applsauc  bananas str,200
babyfood crl oatmeal w applsauc  bananas jr fort,200
babyfood crl oatmeal whoney dry,200
babyfood crl rice dry fort,200
babyfood crl rice w applsauc  bananas str,200
babyfood crl wegg yolks str,200
babyfood crl wegg yolks jr,200
babyfood crl weggs str,200
babyfood crl egg yolksbacon jr,200
babyfood oatmeal crl w fruit dry inst todd fort,200
babyfood cookie baby fruit,200
babyfood crackers veg,200
babyfood crl hi prot wapplorange dry,200
babyfood crl rice w bananas dry,200
babyfood cookies,200
babyfood cookies arrowroot,200
babyfood pretzels,200
babyfood teething biscuits,200
zwieback,200
babyfood dssrt dutch appl str,200
babyfood dssrt dutch appl jr,200
babyfood cherry cobbler jr,200
babyfood dssrt cherry vanilla pudd str,200
babyfood dssrt cherry vanilla pudd jr,200
babyfood dssrt fruit pudd orange str,200
babyfood dssrt peach cobbler str,200
babyfood dssrt peach cobbler jr,200
babyfood dssrt peach melba str,200
babyfood dssrt peach melba jr,200
babyfood dssrt fruit pudd pnappl str,200
babyfood dssrt fruit dssrt wovit c str,200
babyfood dssrt fruit dssrt wovit c jr,200
babyfood dssrt tropical fruit jr,200
babyfood dssrt custard pudd vanilla str,200
babyfood dssrt custard pudd vanilla jr,200
babyfood juc applgrape,200
babyfood juc fruit punch wca,200
babyfood juc applcherry,200
babyfood juc appl wca,200
babyfood dinner vegchick jr,200
babyfood dinner mxd veg str,200
babyfood dinner mxd veg jr,200
babyfood fruit bananas wtapioca jr,200
babyfood veg mix veg jr,200
babyfood veg garden veg str,200
babyfood veg mix veg str,200
babyfood dinner bf noodle jr,200
babyfood appls wham str,200
babyfood carrotsbf str,200
babyfood plums bananasrice str,200
babyfood turkey riceveg todd,200
babyfood dinner applschick str,200
babyfood dinner broccoli  chick jr,200
babyfood  beverage  gerber graduate fruit splashers,200
babyfood snack gerber graduates yogurt melts,200
babyfood dinner swt potatoeschick str,200
babyfood dinner potatoes wchsham todd,200
babyfood crl barley prep wwhl milk,200
babyfood crl hi prot prep wwhl milk,200
babyfood crl mxd prep wwhl milk,200
babyfood crl mxd wbananas prep wwhl milk,200
babyfood crl oatmeal prep wwhl milk,200
babyfood crl oatmeal wbananas prep wwhl milk,200
babyfood crl oatmeal whoney prep wwhl milk,200
babyfood crl rice prep wwhl milk,200
babyfood crl rice whoney prep wwhl milk,200
babyfood crl mxd whoney prep wwhl milk,200
babyfood crl hi prot wapplorange prep wwhl milk,200
babyfood crl rice wbananas prep wwhl milk,200
inf formula nestle good start supreme w iron rtf,200
inf formula nes g start supr w iron liq conc not recon,200
inf formula nestle good start supreme w iron pdr,200
inf formula  mead johnson  enfamil  wiron  rtf,200
inf formula mead johnson enfamil w iron pdr,200
infant formula mead johnson enfamil lo iron rtf,200
inf formula mead johnson enfamillipil wirn pdr w ara  dha,200
inf formula  mead johnson  enfamil  lo iron  powd  not recon,200
inf formu mead johns enfa lipil w iro liq conc w ara  dha,200
inf formula mead johnson enfamil nutramigen w iron rtf,200
inf form mead johnson enfamil nutramigen wiron pdr notrecn,200
inf formula  mead john  enfamil lipil w iron rtf w ar  dh,200
inf form mead johnson enfamil nutramigen wiron lc not recon,200
inf form me johns enfam lip lo iron liq conc w ara  dha,200
child formula mead johnson portagen w iron pdr not recon,200
child formula mead johnson portagen w iron prep from pdr,200
inf formula mead johnson  pregestimil  wiron  pdr no recon,200
inf formula  mead johnson  pregestimil  wiron  prep fro pdr,200
inf formula mead johnson prosobee w iron rtf,200
inf formula  mead johnson  prosobee wiron  liq cnc  not rec,200
inf for me john enfam lipil lo iron ready to fe w ara  dha,200
inf formula mead johnson enfamil prosobee iron pdr not recon,200
inf formula  me john  enfa  lacf lip  wiro  pow  war an dh,200
inf formu  me joh  enf  lac  li  w ir li co n re w ar  dh,200
inf formula mead johnson enfamil lipil rtf w ara  dha,200
inf formula  abbott nutr  similac  pm 6040  pdr not recon,200
inf for me joh enf nutr lipil w iro pdr not re w ara  dha,200
inf formula  abb nut simi nat ca ad rtf w ara  dha,200
inf formula  ab nut  sim  sp ca  adv 24 w ir  rt w ar  dh,200
inf formula  abbo nutr  simil isomi w iron rtf,200
inf formula  abbott nutr  similac  isomil w iron liq conc,200
inf formula  abbo nutr  simila  isomi  w iron pdr not recon,200
inf fo me jo enf nutr lipil w ir liq co not re w ara  dha,200
inf formu me johns enfam nutra lipi w iro rtf w ara  dha,200
inf formula  abbott nutr  similac  alimentum  w iron rtf,200
inf formu  me johns  enfam  enfa lip  wiro  pow  waran dh,200
inf formula  abbott nutr  similac  w iron  rtf,200
inf form  ab nutr  similac  w iron  liq conc  not recon,200
inf formula  mea joh en pr lipi w iro pd no re w ara  dha,200
inf formula  abbott nutr  similac  w iron  pdr  not recon,200
infformula  mead johns enfamil prosob lipi lc notrec aradha,200
inf formula  abbott nutr  similac  lo iron  rtf,200
inf formula  abbott nutr  similac  lo iron liq conc not reco,200
inf formula mejohn prosobe lipi w iro re to fe w ara  dha,200
inf formula  abbott nutr  similac  lo iron  pdr not recon,200
inf formula nestle good start soy w dha  ara rtf,200
child formula abbott nutr pediasure rtf (formerly ross),200
inf form mead john next step pros lipil pdr w ara  dha,200
inf form me jo next step proso lipil reato feed w ara  dha,200
inf formula nestle good start soy w ara  dha pdr,200
inf formula  mead johnson  enfamil  lactofree  rtf,200
inf formula mead johnson enfamil lactofree w irn pdr notrec,200
chi formu abbt nutr pediasu rtf w iron  fib (former ross),200
inf formula nestle good start 2 essentials w iron rtf,200
inf formula  ne goo star 2 essent w iron liq conc not recon,200
inf formula nestle good start 2 essentials w iron pdr,200
inf formula nestle good start essentials soy w iron rtf,200
inf form nest good start essent soy w iron liq con not reco,200
inf formula nestle good start essentials soy w iron pdr,200
inf formula  mead johnson next step prosobee pdr not recon,200
inf formula mead johnson next step prosobee prep from pdr,200
babyfood corn  swt potatoes str,200
inf form  abbo nutr  simil  aliment  advan  rtf w ara  dha,200
inf formula pbm produc sto bra rtf (formerly wyeth-ayerst),200
inf form pbm prod store brand lc not rec (form wyeth-ayerst),200
inf formula pbm products store brand pdr,200
inf formula pbm products store brand soy rtf,200
inf formu pbm produ store br soy liq conc not recon,200
inf formula pbm products store brand soy pdr,200
inf formula  mead johns  enfami  ar lipil  rtf w ara  dha,200
inf formula  mea johnso  enfami  ar lipil  pdr  w ara  dha,200
inf form abbot nut simil neosu rtf w ara  dha,200
inf formula  abbott  similac  neosure  pdr  w ara  dha,200
inf formula  abb nutr  simi sens (lact fre) rtf w ara  dha,200
inf formula  abb nut simil sens (lact fr) liq con w ar  dh,200
inf formula  abb nutr simil sens (lacto fr)  pd  w ara  dh,200
inf formula  abbott nutr  similac  advance  w iron  rtf,200
inf formula abbott nutr similac advanc w iron pdr not recon,200
inf formu abbo nutr similac advan w iron liq conc not recon,200
inf formula  abb nutr  simil  isomil  adva w iron liq conc,200
inf formula  abbo nutr simil isomil  advance w iron rtf,200
inf formula  abb nutr  simi  isomi  advan w iro  pd not rec,200
inf formula mead johnson enfamil enfacare lipil rtf  aradha,200
babyfood yog whl milk w fruit multig crl  add dha fort,200
inf form abbott alimentum advance iron pdr notrec dhaara,200
babyfood mshd cheddar potatoesbroccoli toddler,200
inf formula nestle good start supreme w iron dha  ara rtf,200
inf form nestle good start supreme iron dhaara prp fr lc,200
infform meadjohnson enfamil gentlease lipil wiron prepfrpdr,200
babyfood fort crl bar fruit filling,200
babyfood yogu whl milk w frui multigra crl  add iron fort,200
inf formula nestle good start soy w dha  ara liq conc,200
toddl form me john enfa prem (forme enl lipil next step) pdr,200
toddler formula  mead johnson  enfagrow premium  rtf,200
inf formula mead johnson enfamil gentlease pdr,200
inf formula  mead johns  enfamil  enfagrow  gentlea tod  rtf,200
inf formula  mead johnson  enfamil  enfagrow  soy  todd rtf,200
inf formula mead johnson enfamil nutramigen aa rtf,200
inf formula mead johnson enfamil premature 20 cal rtf,200
inf formula mead johnson enfamil premature 24 calo rtf,200
inf formula mead johnson enfamil premium newborn rtf,200
inf formula  gerber  good start 2 soy w iron rtf,200
inf formula gerber good start protect plus rtf,200
inf formula gerber good start 2 gentle plus rtf,200
inf formula  gerber  good start 2 protect plus  rtf,200
inf formula  abbo nu simil go  gr rtf w ara  dha,200
inf formu  abbo nutr  simil  expert care  diarrh rt,200
inf formula  abbo nutr  simil  for spit up  rtf w ara  dha,200
babyfd fru ban and straw  ju,200
babyfoo ban wi mix berr st,200
babyfood  multigrain whole grain cereal  dry fortified,200
babyfood baby mum mum rice biscuits,200
babyfd snk ge grad lil crunch bkd whlgrn corn snk,200
inf formula  abbott nutrit  similac  for spit up  pow,200
fat beef tallow,200
lard,200
salad drsng kraft mayo lt mayo,200
salad drsng kraft mayo fat free mayo drsng,200
salad drsng kraft miracle whip free nonfat drsng,200
salad drsng russian drsng,200
salad drsng sesame sd drsng reg,200
salad drsng 1000 island comm reg,200
salad drsng mayo type reg wsalt,200
salad drsng french drsng red fat,200
salad drsng italian drsng comm red fat,200
salad drsng russian drsng lo cal,200
salad drsng 1000 island drsng red fat,200
salad drsng mayo reg,200
salad drsng mayo soybnsafflower oil wsalt,200
salad drsng mayo imitn soybn,200
salad drsng mayo imitn milk crm,200
salad drsng mayo imitn soybn wochol,200
sandwich sprd wchopd pickle reg unspec oils,200
shortening household partially hydrog soybn -cottonseed,200
oil soybn salad or cooking (partially hydrogenated),200
oil rice bran,200
oil wheat germ,200
oil pnut salad or cooking,200
oil soybn salad or cooking,200
oil cocnt,200
oil olive salad or cooking,200
oil palm,200
oil sesame salad or cooking,200
oil sunflower linoleic (less than 60),200
margarine reg hard soybn (hydr),200
salad drsng italian drsng comm reg,200
salad drsng french drsng comm reg,200
veg oil sprd unspec oils approx 37 fat w salt,200
salad drsng french home recipe,200
salad drsng home recipe vinegaroil,200
salad drsng french drsng comm reg wo salt,200
salad drsng french drsng red fat wo salt,200
salad drsng italian drsng comm reg wo salt,200
salad drsng italian drsng red fat wo salt,200
salad drsng mayo soybn oil wosalt,200
salad drsng french cttnsd oil home recipe,200
salad drsng french drsng fat-free,200
oil cocoa butter,200
oil cttnsd salad or cooking,200
oil sunflower linoleic (approx 65),200
oil safflower salad or cooking linoleic (over 70),200
oil safflower salad or cooking hi oleic,200
vegetable oil palm kernel,200
oil poppyseed,200
oil tomatoseed,200
oil teaseed,200
oil grapeseed,200
oil corn industrial  rtl allpurp salad or cooking,200
fat mutton tallow,200
oil walnut,200
oil almond,200
oil apricot kernel,200
oil soybn lecithin,200
oil hazelnut,200
oil babassu,200
oil sheanut,200
salad drsng blue or roquefort chs drsng comm reg,200
oil cupu assu,200
fat chicken,200
oil soybn salad or cooking (partially hydrogenated)  cttnsd,200
shortening household lardveg oil,200
oil sunflower linoleic (partially hydrogenated),200
shortening bread soybn (hydr)cttnsd,200
shortening cake mix soybn (hydr)cttnsd (hydr),200
shortening industrial lardveg oil,200
shortening frying (hvy duty) bf tallowcttnsd,200
shortening confectionery cocnt (hydr)or palm kernel (hydr),200
shortening industrial soybn (hydr)cttnsd,200
shortening frying (hvy duty) palm (hydr),200
shortening household soybn (hydr)palm,200
shortening frying hvy duty soybn hydr linoleic (less than 1,200
shortening confectionery fractionated palm,200
oil nutmeg butter,200
oil ucuhuba butter,200
fat duck,200
fat turkey,200
fat goose,200
oil avocado,200
oil canola,200
oil mustard,200
oil sunflower hi oleic (70  over),200
margarine-like margarine-butter blend soybn oil  butter,200
shortening spl purpose for cakesfrostings soybn (hydr),200
shortening spl purpose for baking soybn (hydr) palmcttnsd,200
oil oat,200
fish oil cod liver,200
fish oil herring,200
fish oil menhaden,200
fish oil menhaden fully hydr,200
fish oil salmon,200
fish oil sardine,200
shortening multipurpose soybn (hydr)palm (hydr),200
margarine-like veg oil-butter sprd tub w salt,200
butter lt stk wsalt,200
butter lt stk wosalt,200
meat drippings (lard bf tallow mutton tallow),200
animal fat bacon grease,200
margarine reg 80 fat comp stk w salt,200
margarine reg 80 fat comp tub w salt,200
margarine-like veg oil sprd 60 fat stk w salt,200
margarine-like veg oil sprd 60 fat tub w salt,200
margarine-like veg oil sprd 60 fat sticktubbottle w salt,200
shortening veg household comp,200
margarine reg 80 fat comp stk wo salt,200
margarine reg 80 fat comp tub wo salt,200
veg oil sprd 60 fat sticktubbottle wo salt,200
margarine-like veg oil sprd fat free liq w salt,200
margarine-like sprd w yogurt 70 fat stk w salt,200
margarine-like sprd w yogurt approx 40 fat tub w salt,200
margarine 80 fat stk incl reg  hydr corn  soybn oils,200
margarine  veg oil sprd 70 fat soybn  part hydr soybn stk,200
margarine sprd approx 48 fat tub,200
margarine-like veg oil sprd fat-free tub,200
margarine-like veg oil sprd 20 fat w salt,200
margarine-like veg oil sprd 20 fat wo salt,200
salad drsng 1000 island drsng fat-free,200
salad drsng italian drsng fat-free,200
salad drsng ranch drsng fat-free,200
salad drsng ranch drsng reg,200
salad drsng ranch drsng red fat,200
salad drsng mayo lt,200
oil industrial mid-oleic sunflower,200
oil industrial canola w antifoaming agent,200
oil industrial canola for salads woks  lt frying,200
oil indus canola (part hydrog) oil for deep fat frying,200
oil industrial cocnt,200
oil industrial soy (part hydr) for popcorn  flavoring veg,200
shortening indus soy (part hydrog) pourable liq fry,200
oil industrial soy refined for woks  lt frying,200
oil industrial soy (part hydr) for non-dairy butter flavor,200
oil industrial soy ( part hydrogenated) allpurp,200
oil industrial soy (part hydr )  soy pourable fry,200
oil indus soy (part hydrog)  cttnsd tortilla shortening,200
margarine-like shortening indus soy(part  hydr) cttnsd  soy,200
oil industrial palm kernel confection fat,200
oil industrial palm kernel (hydrogenated) confection fat,200
oil industrial palm kernel (hydrogenated) confection fat,200
